"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Unreal","Discovery Bibcode","Classification Bibcodes","Ext. catalog/s","Auto classification"
"179760","AT 2025kxp","13:21:17.369","-43:46:10.91","CV","0","","","BlackGEM, ATLAS, GOTO","BlackGEM, ATLAS, GOTO","ePESSTO+","ATLAS, BlackGEM, GOTO","BGEM J132117.36-434610.9","ATLAS-CHL - ATLAS-04, BG3 - BlackGEM-Cam3, GOTO-S - GOTO-3","ESO-NTT - EFOSC2-NTT","1","1","","17.01","BG-q-BlackGem","2025-05-21 02:43:56.000","BlackGEM_Bot1","","","2025TNSTR1864....1R","2025TNSCR1906....1C","",""
"179727","AT 2025kwj","12:46:00.134","-12:36:15.04","CV","0","","","DESIRT","DESIRT","ePESSTO+","DESIRT","T202505171246001m123615","CTIO-4m - DECAM","ESO-NTT - EFOSC2-NTT","1","1","","15.893","r-Sloan","2025-05-17 03:02:26.016","DESIRT_Bot","","","2025TNSTR1847....1H","2025TNSCR1906....1C","",""
"179695","AT 2025kvd","20:15:17.385","-12:29:26.61","CV","0","LEDA 952071","","SGLF, GOTO, ATLAS, BlackGEM, Pan-STARRS","ZTF, GOTO, ATLAS, BlackGEM, Pan-STARRS","ePESSTO+","ATLAS, BlackGEM, GOTO, Pan-STARRS, ZTF","ZTF25aaqvwgk","ATLAS-CHL - ATLAS-04, BG2 - BlackGEM-Cam2, BG3 - BlackGEM-Cam3, GOTO-N - GOTO-2, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","17.145","r-ZTF","2025-05-20 10:27:54.000","Ismael Perez-Fournon","","","2025TNSTR1851....1P","2025TNSCR1906....1C","",""
"179256","AT 2025kfh","16:39:32.352","+15:59:15.81","CV","0","","","ZTF, YSE, LAST","ZTF, Pan-STARRS, LAST","ePESSTO+","LAST, Pan-STARRS, ZTF","ZTF25aaptoxz","LAST - LAST-Cam, P48 - ZTF-Cam, PS2 - GPC2","ESO-NTT - EFOSC2-NTT","1","1","","17.9674","r-ZTF","2025-05-09 07:44:02.002","Fritz","","","2025TNSTR1731....1R","2025TNSCR1963....1C","",""
"178797","AT 2025jpj","18:47:34.990","+29:05:57.90","CV","","","","XOSS","XOSS","UCSC","XOSS","KATS25J001","Other - Other","Lick-3m - KAST","1","1","","16.39","Clear-","2025-05-03 18:22:02.784","Mi Zhang","","","2025TNSTR1665....1Z","2025TNSCR1704....1D","",""
"178010","AT 2025img","10:58:35.040","+05:47:05.50","CV","","","","MASTER","MASTER","None","MASTER","MASTER OT J105835.04+054705.5","Other - Other","Other - Other","1","1","","15.2","Other-","2025-04-26 19:04:22.080","MASTER","","","2025TNSTR1554....1K","2025TNSCR1558....1V","",""
"177870","AT 2025igx","20:09:27.298","+10:44:32.17","CV","0","","","ZTF, LAST","ZTF, LAST","ePESSTO+","LAST, ZTF","ZTF25aanzrcx","LAST - LAST-Cam, P48 - ZTF-Cam","ESO-NTT - EFOSC2-NTT","1","1","","19.1195","g-ZTF","2025-04-22 10:52:08.996","Fritz","","","2025TNSTR1530....1R","2025TNSCR1637....1C","",""
"177683","AT 2025hzx","17:38:25.716","-02:51:56.58","CV","","","","GOTO","GOTO","SCAT","GOTO","GOTO25cau","GOTO-N - GOTO-2, GOTO-S - GOTO-4","UH88 - SNIFS","1","1","","18.27","L-GOTO","2025-04-22 01:10:13.728","GOTO_bot","","","2025TNSTR1486....1R","2025TNSCR1650....1H","",""
"177591","AT 2025hwl","18:22:55.930","+10:20:01.30","CV","","","","XOSS","XOSS","None","XOSS","KATS25H002","Other - Other","Other - Other","1","1","","15.03","Clear-","2025-04-20 20:19:43.392","Mi Zhang","","","2025TNSTR1453....1Z","2025TNSCR1500....1P","",""
"177365","AT 2025hny","18:29:38.123","+60:13:35.98","CV","0","","","GOTO","GOTO","GOTO","GOTO","GOTO25bxk","GOTO-N - GOTO-2","LT - SPRAT","1","1","","17.53","L-GOTO","2025-04-18 01:38:24.576","GOTO_bot","","","2025TNSTR1425....1K","2025TNSCR1716....1P","",""
"175620","AT 2025fbc","18:45:32.005","+23:49:28.96","CV","0","","","XOSS, ZTF","XOSS, ZTF","ZTF","XOSS, ZTF","KATS25F020","Other - Other, P48 - ZTF-Cam","LT - SPRAT","1","1","","16.25","Clear-","2025-03-20 22:01:37.920","Mi Zhang","","","2025TNSTR1073....1X","2025TNSCR1221....1W","",""
"175356","AT 2025ere","10:15:39.950","+73:26:05.70","CV","0","NGC 3147","","","","None","","","Other - Other","Other - Other","1","1","","13.973","Clear-","2025-03-17 03:22:39.000","Patrick Wiggins","","","2025TNSTR1010....1W","2025TNSCR1034....1L","",""
"173558","AT 2025cwe","14:03:40.080","+79:47:31.30","CV","0","","","XOSS","XOSS","None","XOSS","KATS25D025","Other - Other","Other - Other","1","1","","13.94","Clear-","2025-02-27 15:16:12.864","Mi Zhang","","","2025TNSTR.810....1X","2025TNSCR.837....1L","",""
"173287","AT 2025cly","13:43:27.461","+43:28:28.40","CV","","","","ATLAS, ZTF","ATLAS, ZTF","LiONS","ATLAS, ZTF","ATLAS25bxt","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, P48 - ZTF-Cam","Lijiang-2.4m - YFOSC","1","1","","19.196","orange-ATLAS","2025-02-23 13:04:26.400","ATLAS_Bot1","","","2025TNSTR.734....1T","2025TNSCR.782....1L, 2025TNSCR.782....1L","",""
"171907","AT 2025ayw","16:23:09.291","-76:54:30.14","CV","0","","","ATLAS","ATLAS","ePESSTO+","ATLAS","ATLAS25blp","ATLAS-CHL - ATLAS-04, ATLAS-STH - ATLAS-03","ESO-NTT - EFOSC2-NTT","1","1","","18.668","cyan-ATLAS","2025-02-06 08:27:44.640","ATLAS_Bot1","","","2025TNSTR.506....1T","2025TNSCR.544....1M","",""
"171866","AT 2025axj","06:48:33.490","+06:56:22.80","CV","0","","","Padova-Asiago","","Padova-Asiago","","TCP J06483349+0656228","Other - Other","Galileo - BC-Asi","1","1","","12.4","Clear-","2025-02-04 10:29:16.800","Andrea Reguitti","","","2025TNSTR.477....1I","2025TNSCR.484....1O","",""
"171433","AT 2025aiv","18:10:07.662","+47:53:39.19","CV","0","","","GOTO, ATLAS, ZTF","GOTO, ATLAS, ZTF","GOTO","ATLAS, GOTO, ZTF","GOTO25tl","ATLAS-HKO - ATLAS-02, ATLAS-MLO - ATLAS-01, GOTO-N - GOTO-1, P48 - ZTF-Cam","LT - SPRAT","1","1","","15.68","L-GOTO","2025-01-28 06:31:12.288","GOTO_bot","","","2025TNSTR.389....1R","2025TNSCR.445....1P","",""
